two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
3.02384,0.011266118,0.008410989,-0.0,0.21278778,0.20138174,-0.0,-0.0,0.16765605
3.04192,0.014669142,0.0057675974,-0.0,0.2522049,0.19362102,-0.0,-0.0,0.17663752
3.06,0.012928237,0.004450597,-0.0,0.28102744,0.18572946,-0.0,-0.0,0.17175579
3.07808,0.010505407,0.0028054363,-0.0,0.28780895,0.17952114,-0.0,-0.0,0.1758699
3.09616,0.009324723,0.0050733937,-0.0,0.27788225,0.17470765,-0.0,-0.0,0.18379772
3.11424,0.0073626987,0.00491848,-0.0,0.25232655,0.16948801,-0.0,-0.0,0.19586019
3.13232,0.008710283,0.005944469,-0.0,0.22245032,0.165682,-0.0,-0.0,0.20801838
3.1504,0.008440831,0.005842483,-0.0,0.19820282,0.16116312,-0.0,-0.0,0.21420774
3.16848,0.012693796,0.0052612284,-0.0,0.17871189,0.15804657,-0.0,-0.0,0.21211518
3.18656,0.015416667,0.0037885983,-0.0,0.17283659,0.15423396,-0.0,-0.0,0.20307048
3.20464,0.017905612,0.0011766148,-0.0,0.17909068,0.15045996,-0.0,-0.0,0.19539759
3.22272,0.018747484,7.963103e-05,-0.0,0.19968425,0.14747472,-0.0,-0.0,0.18350661
3.2408,0.018169167,-0.0,-0.0,0.21247846,0.14462447,-0.0,-0.0,0.16384718
3.25888,0.017729972,-0.0,-0.0,0.21642435,0.14255762,-0.0,-0.0,0.14963694
3.27696,0.014600202,-0.0,-0.0,0.19832727,0.14058444,-0.0,-0.0,0.13263543
3.29504,0.011617261,4.7404512e-05,-0.0,0.171517,0.1393352,-0.0,-0.0,0.13361251
3.31312,0.006781888,0.0018891294,-0.0,0.15193059,0.13826333,-0.0,-0.0,0.13850822
3.3312,0.0048775733,0.004012718,-0.0,0.14446586,0.13729508,-0.0,-0.0,0.14911254
3.34928,0.0023276848,0.006501998,-0.0,0.15121683,0.13608542,-0.0,-0.0,0.15804292
3.36736,0.0016038232,0.0072314665,-0.0,0.18086624,0.13519914,-0.0,8.65508e-06,0.16516535
3.38544,0.003482679,0.008740618,-0.0,0.23488136,0.13400133,-0.0,-0.0,0.15636562
3.40352,0.002951504,0.007941396,-0.0,0.31514847,0.13219114,-0.0,-0.0,0.12976955
3.4216,0.0048975875,0.007583246,-0.0,0.40434164,0.13120832,-0.0,-0.0,0.09071273
3.43968,0.0050757052,0.007592999,-0.0,0.46966785,0.13022839,-0.0,-0.0,0.044807833
3.45776,0.006636478,0.0060086534,-0.0,0.49180818,0.12983747,-0.0,-0.0,0.02013056
3.47584,0.00812935,0.0056521697,-0.0,0.46502456,0.12950465,-0.0,-0.0,0.020850567
