two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
6.65792,-0.0,0.18200888,-0.0,-0.0,1.2898155,0.26435265,-0.0,0.64639753
6.69408,-0.0,0.17459801,-0.0,-0.0,1.2614913,0.2569883,-0.0,0.66939855
6.73024,-0.0,0.16586396,-0.0,-0.0,1.2334936,0.2834681,-0.0,0.65496033
6.7664,-0.0,0.1883043,-0.0,-0.0,1.2092812,0.299242,-0.0,0.61171407
6.80256,-0.0,0.22609618,-0.0,-0.0,1.1958839,0.4329782,-0.0,0.5810702
6.83872,-0.0,0.21241944,-0.0,-0.0,1.1890985,0.7450507,-0.0,0.5868366
6.87488,-0.0,0.16419804,-0.0,-0.0,1.1722487,1.112387,-0.0,0.6139355
6.91104,-0.0,0.091078155,-0.0,-0.0,1.1472279,1.5714606,-0.0,0.637737
6.9472,-0.0,0.012505351,-0.0,-0.0,1.1187881,2.0231133,-0.0,0.6393797
6.98336,-0.0,-0.0,-0.0,-0.0,1.085654,2.1323617,-0.0,0.64175355
7.01952,-0.0,1.6257274e-05,-0.0,-0.0,1.0562402,1.8378639,-0.0,0.6474731
7.05568,-0.0,0.02048164,1.2614821e-05,-0.0,1.0346223,1.2947133,-0.0,0.6617676
7.09184,-0.0,0.057340268,-0.0,-0.0,1.0257536,0.8876173,-0.0,0.68334454
7.128,-0.0,0.1038052,3.480674e-05,-0.0,1.0443017,0.6997203,-0.0,0.69897205
7.16416,-0.0,0.23010889,0.19215837,-0.0,1.1337117,0.5655936,-0.0,0.7674235
7.20032,-0.0,0.50786155,0.561829,-0.0,1.2495474,0.37746856,-0.0,0.9525423
7.23648,-0.0,0.7043457,0.43894985,-0.0,1.2730559,0.11017836,-0.0,1.1367396
7.27264,-0.0,0.5439436,-0.0,-0.0,1.2246643,-0.0,-0.0,1.1092474
7.3088,-0.0,0.23855302,-0.0,-0.0,1.1400634,0.03645169,-0.0,0.8959085
7.34496,-0.0,0.090164386,-0.0,-0.0,1.0382382,0.17373021,-0.0,0.6835388
7.38112,-0.0,0.06366075,-0.0,-0.0,0.95105565,0.24740769,-0.0,0.5980582
7.41728,-0.0,0.08579463,-0.0,-0.0,0.8988337,0.32532966,-0.0,0.5752966
7.45344,-0.0,0.12919688,3.0952855e-05,-0.0,0.8741448,0.50827616,-0.0,0.5780305
7.4896,-0.0,0.122211434,4.5598914e-05,-0.0,0.8572412,0.83166856,-0.0,0.58720464
7.52576,-0.0,0.060795452,-0.0,-0.0,0.8434,1.1212623,-0.0,0.6007523
7.56192,-0.0,0.021161415,6.407577e-05,-0.0,0.8301914,1.1497781,-0.0,0.611695
7.59808,-0.0,0.019161018,4.7972317e-05,-0.0,0.81576025,0.9288733,-0.0,0.6172246
7.63424,-0.0,0.04570658,2.6418089e-05,-0.0,0.80407417,0.598013,-0.0,0.61253935
7.6704,-0.0,0.07051215,-0.0,-0.0,0.79724884,0.3842795,-0.0,0.61012805
7.70656,-0.0,0.0953905,7.416267e-06,-0.0,0.79592425,0.3231325,-0.0,0.6272279
7.74272,-0.0,0.09172997,8.030347e-06,-0.0,0.7947383,0.34525773,-0.0,0.6655566
7.77888,-0.0,0.06600699,-0.0,-0.0,0.78504306,0.3784725,-0.0,0.70730776
7.81504,-0.0,0.06156279,-0.0,-0.0,0.7773376,0.3791106,-0.0,0.7248182
7.8512,-0.0,0.052577067,-0.0,-0.0,0.7671592,0.38602185,-0.0,0.7122195
7.88736,-0.0,0.033807494,-0.0,-0.0,0.75650203,0.43156853,-0.0,0.6833476
