wavenumber,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
344.56263567,0.15383977,-0.0,-0.0,0.09848158,0.82937604,-0.0,1.8469247e-05,-0.0
348.01929207,0.15771115,-0.0,-0.0,0.093885966,0.8294904,-0.0,1.7390483e-05,-0.0
351.47457338,0.1607893,-0.0,-0.0,0.088787474,0.8291662,-0.0,-0.0,-0.0
354.92848035,0.16324556,-0.0,-0.0,0.084364735,0.82967335,-0.0,-0.0,-0.0
358.38101377,0.16464841,-0.0,-0.0,0.080756485,0.8305136,-0.0,-0.0,-0.0
361.8321744,0.16615762,-0.0,-0.0,0.07722814,0.8296384,-0.0,-0.0,-0.0
365.281963,0.16468415,-0.0,-0.0,0.07856603,0.82937366,-0.0,-0.0,-0.0
368.73038036,0.16409475,-0.0,-0.0,0.07899069,0.8303237,-0.0,-0.0,-0.0
372.17742722,0.16393115,-0.0,-0.0,0.07938344,0.8302775,-0.0,7.020668e-06,-0.0
375.62310437,0.1641446,-0.0,-0.0,0.079087354,0.83114564,-0.0,-0.0,-0.0
379.06741257,0.16381368,-0.0,-0.0,0.080381274,0.8341011,-0.0,-0.0,-0.0
382.51035258,0.16405709,-0.0,-0.0,0.079964615,0.8382482,-0.0,-0.0,-0.0
385.95192517,0.16542119,3.241255e-08,-0.0,0.07909265,0.8443284,-0.0,-0.0,-0.0
389.39213111,0.16782784,-0.0,-0.0,0.07699421,0.8552163,-0.0,-0.0,-0.0
392.83097115,0.17056756,9.629558e-07,-0.0,0.07455486,0.86703205,-0.0,1.2841254e-05,-0.0
396.26844606,0.17245087,-0.0,-0.0,0.07336401,0.8751959,-0.0,-0.0,-0.0
399.70455661,0.17378959,-0.0,-0.0,0.0719619,0.877633,-0.0,4.7003205e-06,-0.0
403.13930355,0.1731472,-0.0,-0.0,0.07408668,0.87533635,-0.0,-0.0,-0.0
406.57268765,0.17171592,-0.0,-0.0,0.07661648,0.86662924,-0.0,-0.0,-0.0
410.00470967,0.16847348,-0.0,-0.0,0.08072384,0.85563534,-0.0,-0.0,-0.0
413.43537038,0.16665864,-0.0,-0.0,0.08322452,0.84593105,-0.0,6.9630178e-06,-0.0
416.86467052,0.16474146,-0.0,-0.0,0.08559777,0.8390103,-0.0,-0.0,-0.0
420.29261086,0.1637765,-0.0,-0.0,0.08749386,0.834017,-0.0,1.3851392e-05,-0.0
423.71919217,0.1636182,3.5826888e-05,-0.0,0.087372966,0.8320594,-0.0,-0.0,-0.0
427.14441519,0.16297756,6.26077e-06,-0.0,0.08841586,0.8303408,-0.0,-0.0,-0.0
430.56828069,0.16344143,1.1446809e-05,-0.0,0.088659346,0.8295082,-0.0,-0.0,-0.0
433.99078941,0.16415088,-0.0,-0.0,0.08827418,0.8297005,-0.0,-0.0,-0.0
437.41194213,0.16443455,2.7138301e-05,-0.0,0.08883545,0.8303746,-0.0,-0.0,-0.0
440.8317396,0.16548954,1.8256313e-05,-0.0,0.0878285,0.83065385,-0.0,1.3058596e-05,-0.0
444.25018256,0.16491319,-0.0,-0.0,0.08870874,0.83229697,-0.0,-0.0,-0.0
447.66727179,0.16477829,-0.0,-0.0,0.08853499,0.8348159,-0.0,-0.0,-0.0
451.08300802,0.16423567,-0.0,-0.0,0.08913187,0.8369991,-0.0,-0.0,-0.0
454.49739202,0.16355383,3.3204382e-05,-0.0,0.08981506,0.8391181,-0.0,-0.0,-0.0
457.91042454,0.16296667,1.3166629e-05,-0.0,0.08954642,0.8420938,-0.0,-0.0,-0.0
461.32210633,0.16210704,-0.0,-0.0,0.09112744,0.8443966,-0.0,-0.0,-0.0
464.73243814,0.16218945,-0.0,-0.0,0.09115236,0.8454709,-0.0,-0.0,-0.0
468.14142073,0.1625113,-0.0,-0.0,0.09114043,0.8465369,-0.0,3.086024e-06,-0.0
471.54905484,0.1634124,-0.0,-0.0,0.0906749,0.84774613,-0.0,-0.0,-0.0
474.95534123,0.16503161,-0.0,-0.0,0.089777075,0.8476609,-0.0,-0.0,-0.0
478.36028065,0.16547355,-0.0,-0.0,0.09050657,0.848333,-0.0,-0.0,-0.0
481.76387384,0.16667625,-0.0,-0.0,0.08963759,0.84811765,-0.0,-0.0,-0.0
485.16612156,0.16730812,-0.0,-0.0,0.089537695,0.8480799,-0.0,-0.0,-0.0
488.56702456,0.16798943,-0.0,-0.0,0.08886322,0.8481772,-0.0,-0.0,-0.0
491.96658357,0.16928683,-0.0,-0.0,0.087631255,0.8494565,-0.0,-0.0,-0.0
495.36479936,0.16946004,-0.0,-0.0,0.08737049,0.85001713,-0.0,-0.0,-0.0
498.76167266,0.16946264,-0.0,-0.0,0.08742323,0.85103756,-0.0,-0.0,-0.0
502.15720422,0.16951244,-0.0,-0.0,0.086966924,0.8521945,-0.0,-0.0,-0.0
505.55139479,0.16926567,-0.0,-0.0,0.08672384,0.8528814,-0.0,-0.0,-0.0
508.94424511,0.16896267,-0.0,-0.0,0.086630106,0.8521949,-0.0,-0.0,-0.0
512.33575593,0.16869453,-0.0,-0.0,0.08610446,0.8515002,-0.0,-0.0,-0.0
515.72592799,0.16846265,-0.0,-0.0,0.08539981,0.8500455,-0.0,-0.0,-0.0
519.11476203,0.16936342,-0.0,-0.0,0.084166,0.8481368,-0.0,-0.0,-0.0
522.5022588,0.16973232,-0.0,-0.0,0.08280762,0.84636056,-0.0,-0.0,-0.0
525.88841904,0.17012586,-0.0,-0.0,0.08199723,0.84475905,-0.0,-0.0,-0.0
529.27324349,0.17109226,-0.0,-0.0,0.08103927,0.842671,-0.0,5.568573e-06,-0.0
532.6567329,0.17230374,-0.0,-0.0,0.07994538,0.84165144,-0.0,-0.0,-0.0
536.03888799,0.17227677,-0.0,-0.0,0.08006875,0.8408481,-0.0,-0.0,-0.0
539.41970952,0.17295745,-0.0,-0.0,0.079861835,0.840533,-0.0,-0.0,-0.0
542.79919823,0.17266172,-0.0,-0.0,0.08098802,0.84053254,-0.0,-0.0,-0.0
546.17735484,0.17319079,-0.0,-0.0,0.08130954,0.84092325,-0.0,-0.0,-0.0
549.55418011,0.17277594,-0.0,-0.0,0.082967944,0.8419356,-0.0,6.459447e-06,-0.0
552.92967476,0.17274469,-0.0,-0.0,0.08494312,0.8428857,-0.0,-0.0,-0.0
556.30383954,0.17287667,-0.0,-0.0,0.08505649,0.84386086,-0.0,-0.0,-0.0
559.67667518,0.17323485,-0.0,-0.0,0.08651885,0.84587044,-0.0,-0.0,-0.0
563.04818242,0.1733444,-0.0,-0.0,0.08675783,0.8472991,-0.0,-0.0,-0.0
566.41836199,0.17335409,-0.0,-0.0,0.088566124,0.84906524,-0.0,-0.0,-0.0
569.78721464,0.17387323,-0.0,-0.0,0.088768534,0.8507058,-0.0,-0.0,-0.0
573.15474109,0.17362866,-0.0,-0.0,0.09109231,0.85235375,-0.0,-0.0,-0.0
576.52094207,0.17479174,-0.0,-0.0,0.09131413,0.8543016,-0.0,-0.0,-0.0
579.88581833,0.17517337,-0.0,-0.0,0.09279352,0.85703534,-0.0,-0.0,-0.0
583.24937059,0.17647459,-0.0,-0.0,0.09272568,0.8588571,-0.0,9.346967e-06,-0.0
586.6115996,0.17760162,-0.0,-0.0,0.093412854,0.86077213,-0.0,-0.0,-0.0
589.97250607,0.17886193,-0.0,-0.0,0.093224056,0.86286753,-0.0,-0.0,-0.0
593.33209074,0.179547,-0.0,-0.0,0.09460058,0.865241,-0.0,-0.0,-0.0
596.69035434,0.18118098,-0.0,-0.0,0.09422538,0.86713076,-0.0,8.053756e-06,-0.0
600.04729761,0.18234348,-0.0,-0.0,0.093992546,0.86991763,-0.0,3.1550303e-06,-0.0
